Position,Const,Created,Modified,Description,Name,Known For,Birth Date
525,nm0802248,2018-07-04,2018-07-04,"1465 points","Tarsem Singh","The Fall","May 26, 1961"
526,nm2436566,2024-01-07,2024-01-07,"1459 points","Tyler Nilson","The Peanut Butter Falcon","July 26, 1981"
527,nm1481618,2023-01-09,2023-01-09,"1454 points","Peter Landesman","Concussion",
528,nm0003088,2018-06-26,2018-06-26,"1436 points","Chris Noonan","Babe","November 14, 1952"
529,nm0000776,2018-06-29,2018-06-29,"1425 points","Michael Apted","Amazing Grace","February 10, 1941"
530,nm0758574,2018-07-03,2018-07-03,"1413 points","Walter Salles","Central do Brasil","April 12, 1956"
531,nm2630323,2024-03-10,2024-03-10,"1408 points","Justine Triet","Anatomie d'une chute","July 17, 1978"
532,nm0337773,2021-09-07,2024-06-29,"1396 points","David Gordon Green","Halloween Kills","April 9, 1975"
533,nm0795290,2018-07-14,2018-07-14,"1390 points","Michael Showalter","Wet Hot American Summer","June 17, 1970"
534,nm1699934,2025-03-01,2025-03-01,"1382 points","Sean Durkin","Martha Marcy May Marlene","December 9, 1981"
535,nm0600546,2018-06-28,2018-07-01,"1372 points","Lukas Moodysson","Fucking Åmål","January 17, 1969"
536,nm0424103,2018-07-09,2018-07-09,"1370 points","Karan Johar","Kabhi Khushi Kabhie Gham...","May 25, 1972"
537,nm0412465,2018-06-16,2018-06-24,"1364 points","James Ivory","Call Me by Your Name","June 7, 1928"
538,nm0695937,2018-05-22,2018-05-30,"1361 points","Otto Preminger","Stalag 17","December 5, 1905"
539,nm0348993,2023-03-05,2023-03-05,"1333 points","Mark Gustafson","Guillermo del Toro's Pinocchio","September 19, 1959"
540,nm0304541,2018-07-07,2018-07-07,"1332 points","Dennis Gansel","Die Welle","October 4, 1973"
541,nm0671957,2018-06-01,2018-06-01,"1330 points","Arthur Penn","Bonnie and Clyde","September 27, 1922"
542,nm0788940,2018-06-10,2018-06-10,"1327 points","Jim Sharman","The Rocky Horror Picture Show","March 12, 1945"
543,nm1041597,2018-07-03,2018-07-03,"1318 points","Morgan Spurlock","Super Size Me","November 7, 1970"
544,nm0000786,2023-11-06,2023-11-06,"1307 points","George Armitage","Grosse Pointe Blank","1942"
545,nm0192845,2018-07-04,2018-07-04,"1295 points","John Curran","Chappaquiddick","September 11, 1960"
546,nm0001452,2018-05-28,2018-05-28,"1289 points","Charles Laughton","Witness for the Prosecution","July 1, 1899"
547,nm2482088,2020-03-02,2020-03-02,"1287 points","Tommy Wirkola","Død snø 2","December 6, 1979"
548,nm0516360,2018-07-04,2018-07-14,"1284 points","Ken Loach","Sorry We Missed You","June 17, 1936"
549,nm0082802,2018-07-05,2018-07-05,"1282 points","Mike Binder","The Comedy Store","June 2, 1958"
550,nm8083973,2024-10-19,2024-10-21,"1267 points","Cory Finley","Thoroughbreds",
551,nm10227660,2024-03-09,2024-03-09,"1267 points","Celine Song","Past Lives","September 19, 1988"
552,nm0001226,2018-06-24,2018-06-24,"1264 points","James Foley","At Close Range","December 28"
553,nm0382956,2018-06-27,2024-02-14,"1257 points","Scott Hicks","Shine","March 4, 1953"
554,nm0001410,2018-06-26,2022-03-10,"1255 points","Lawrence Kasdan","The Big Chill","January 14, 1949"
555,nm0357453,2018-07-03,2018-07-03,"1252 points","John Hamburg","Little Fockers","May 26, 1970"
556,nm0000750,2018-06-29,2018-07-02,"1248 points","Jon Amiel","Copycat","May 20, 1948"
557,nm0332950,2018-07-01,2018-07-01,"1229 points","Ashutosh Gowariker","Swades: We, the People","February 15, 1964"
558,nm1818032,2023-04-05,2023-04-05,"1229 points","Lee Isaac Chung","Minari","October 19, 1978"
559,nm0149446,2023-09-05,2023-09-05,"1228 points","Gurinder Chadha","Bend It Like Beckham","January 10, 1960"
560,nm3489851,2023-04-28,2023-04-28,"1222 points","Shaka King","Judas and the Black Messiah","March 7, 1980"
561,nm1148550,2018-07-12,2018-07-12,"1221 points","Ava DuVernay","Selma","August 24, 1972"
562,nm0562266,2018-07-03,2018-07-03,"1219 points","John Maybury","Love Is the Devil: Study for a Portrait of Francis Bacon","1958"
563,nm0611683,2018-06-17,2018-06-17,"1214 points","Russell Mulcahy","Highlander","June 23, 1953"
564,nm1258686,2023-11-06,2023-11-06,"1208 points","Joachim Trier","Thelma","March 1, 1974"
565,nm0000671,2019-01-15,2019-01-15,"1207 points","Billy Bob Thornton","Sling Blade","August 4, 1955"
566,nm0381416,2018-07-07,2018-07-07,"1207 points","Grant Heslov","Argo","May 15, 1963"
567,nm0712753,2024-02-08,2024-07-22,"1203 points","Billy Ray","Captain Phillips",
568,nm0264236,2018-07-04,2018-07-04,"1202 points","Richard Eyre","Notes on a Scandal","March 28, 1943"
569,nm3363032,2021-06-24,2021-06-24,"1200 points","Ryan Coogler","Black Panther: Wakanda Forever","May 23, 1986"
570,nm0911910,2018-06-28,2018-06-28,"1193 points","Vincent Ward","The Navigator: A Medieval Odyssey","February 16, 1956"
571,nm2277869,2018-07-06,2018-07-06,"1189 points","Marjane Satrapi","Persepolis","November 22, 1969"
572,nm1749112,2018-07-06,2018-07-06,"1189 points","Vincent Paronnaud","Persepolis","1970"
573,nm0499724,2021-03-20,2021-03-20,"1181 points","Michael Lehmann","Hudson Hawk","March 30, 1957"
574,nm0149491,2018-07-07,2018-07-07,"1178 points","Justin Chadwick","Mandela: Long Walk to Freedom","December 1, 1968"
575,nm1547964,2018-07-08,2018-07-08,"1173 points","Richard Ayoade","Submarine","May 23, 1977"
576,nm0126096,2024-01-09,2024-01-09,"1172 points","James Ward Byrkit","Coherence",
577,nm0000454,2018-06-03,2019-03-20,"1171 points","Dennis Hopper","Easy Rider","May 17, 1936"
578,nm0015359,2018-07-03,2018-07-08,"1167 points","Fatih Akin","Aus dem Nichts","August 25, 1973"
579,nm0671210,2019-04-17,2019-04-17,"1161 points","Mark Pellington","Arlington Road","March 17, 1962"
580,nm0196860,2018-07-06,2018-07-06,"1160 points","Olivier Dahan","La Môme","June 26, 1967"
581,nm3026537,2024-03-09,2024-03-09,"1160 points","Grant Singer","The Weeknd feat. Daft Punk: Starboy","July 23, 1985"
582,nm1022455,2018-07-10,2018-07-10,"1158 points","Benh Zeitlin","Beasts of the Southern Wild","October 14, 1982"
583,nm0000209,2018-06-26,2018-06-26,"1156 points","Tim Robbins","Mystic River","October 16, 1958"
584,nm0000953,2018-06-07,2018-06-16,"1153 points","Peter Bogdanovich","The Last Picture Show","July 30, 1939"
585,nm4627221,2022-12-15,2022-12-15,"1150 points","Darin J. Sallam","Farha",
586,nm0404606,2018-06-02,2019-09-24,"1140 points","Brian G. Hutton","Where Eagles Dare","May 2, 1929"
587,nm0712947,2018-05-28,2018-05-28,"1138 points","Nicholas Ray","Rebel Without a Cause","August 7, 1911"
588,nm0748066,2018-07-10,2018-07-10,"1131 points","Henry Alex Rubin","Murderball",
589,nm1312919,2018-07-12,2022-09-09,"1127 points","Yann Demange","'71",
590,nm0391502,2025-02-27,2025-02-27,"1121 points","Hannes Holm","En man som heter Ove","November 26, 1962"
591,nm0001345,2018-06-17,2018-06-17,"1115 points","Jim Henson","The Muppet Show","September 24, 1936"
592,nm1716636,2022-06-18,2022-06-18,"1111 points","Marielle Heller","The Diary of a Teenage Girl","October 1, 1979"
593,nm1118351,2024-11-29,2024-11-29,"1107 points","Jalmari Helander","Rare Exports","July 21, 1976"
594,nm1314116,2018-07-07,2018-07-07,"1103 points","Saul Dibb","The Duchess","1968"
595,nm0164187,2022-08-18,2022-08-18,"1102 points","Larry Clark","Bully","January 19, 1943"
596,nm0592135,2022-02-09,2022-02-09,"1085 points","Lin-Manuel Miranda","Hamilton","January 16, 1980"
597,nm0855035,2024-07-10,2024-07-10,"1077 points","Andy Tennant","Fool's Gold","June 15, 1955"
598,nm0601382,2024-11-03,2024-11-03,"1077 points","John Moore","Max Payne","1970"
599,nm0959034,2021-10-10,2021-10-10,"1075 points","Joel Zwick","My Big Fat Greek Wedding","January 11, 1942"
600,nm0149196,2018-07-09,2018-07-12,"1069 points","Nuri Bilge Ceylan","Bir Zamanlar Anadolu'da","January 26, 1959"
601,nm0001460,2018-06-30,2018-06-30,"1063 points","Mimi Leder","The Morning Show","January 26, 1952"
602,nm3968825,2024-03-26,2024-03-26,"1057 points","Michael Sarnoski","Pig",
603,nm0460206,2024-03-08,2024-03-08,"1056 points","Brian Klugman","The Words","September 14, 1975"
604,nm0914132,2018-07-03,2018-07-03,"1052 points","Mark Waters","(500) Days of Summer","June 30, 1964"
605,nm0001281,2018-07-09,2018-07-09,"1046 points","Bobcat Goldthwait","God Bless America","May 26, 1962"
606,nm0005101,2022-12-19,2022-12-19,"1046 points","Harmony Korine","Gummo","January 4, 1973"
607,nm2905562,2018-07-07,2018-07-07,"1041 points","Daniel Barber","Harry Brown","1965"
608,nm0697656,2024-07-21,2024-07-21,"1038 points","Gina Prince-Bythewood","Love & Basketball","June 10"
609,nm0705535,2018-06-16,2022-07-02,"1036 points","Michael Radford","Il postino","February 24, 1946"
610,nm0001887,2021-01-16,2021-01-16,"1034 points","Paul Brickman","Risky Business","April 23, 1949"
611,nm0281396,2018-07-04,2018-07-04,"1029 points","Ryan Fleck","Captain Marvel","September 20, 1976"
612,nm0006889,2018-06-16,2018-06-22,"1024 points","Herbert Ross","The Turning Point","May 13, 1927"
613,nm0001361,2018-06-14,2018-06-14,"1019 points","Tobe Hooper","The Texas Chain Saw Massacre","January 25, 1943"
614,nm0070594,2018-07-10,2018-07-10,"1017 points","Malik Bendjelloul","Searching for Sugar Man","September 14, 1977"
615,nm1503403,2018-07-03,2018-07-03,"1015 points","Shane Carruth","Upstream Color","1972"
616,nm1077168,2022-02-09,2022-02-09,"1011 points","Yann Samuell","Jeux d'enfants","June 7, 1965"
617,nm1166926,2018-07-02,2018-07-02,"1000 points","Vadim Perelman","House of Sand and Fog","1963"
618,nm0000777,2023-08-23,2023-08-23,"1000 points","Gregg Araki","Mysterious Skin","December 17, 1959"
619,nm2304675,2022-09-11,2022-09-11,"990 points","Lulu Wang","The Farewell","February 25, 1983"
620,nm1404307,2022-02-09,2022-02-09,"983 points","Simon Stone","The Daughter","August 19, 1984"
621,nm0122427,2021-06-15,2021-06-15,"979 points","Rob Burnett","The Fundamentals of Caring","July 8, 1962"
622,nm0000419,2018-05-30,2019-08-26,"975 points","Jean-Luc Godard","Bande à part","December 3, 1930"
623,nm0587518,2018-06-14,2018-06-14,"974 points","John Milius","Conan the Barbarian","April 11, 1944"
624,nm0787601,2018-07-01,2018-07-01,"968 points","Steven Shainberg","Secretary","February 5, 1963"
625,nm0911334,2024-02-07,2024-02-07,"965","Matthew Warchus","Pride","October 24, 1966"
626,nm0744035,2018-05-30,2018-05-30,"954 points","Robert Rossen","The Hustler","March 16, 1908"
627,nm0001754,2018-06-28,2018-06-28,"953 points","Todd Solondz","Welcome to the Dollhouse","October 15, 1959"
628,nm0429963,2018-07-08,2018-07-08,"948 points","Gregor Jordan","Two Hands","1966"
629,nm0466153,2020-05-23,2020-05-23,"945 points","Hirokazu Koreeda","Manbiki kazoku","June 6, 1962"
630,nm0413875,2018-06-24,2018-06-24,"942 points","Mick Jackson","Volcano","October 4, 1943"
631,nm0001707,2024-02-18,2024-02-18,"936 points","Paul Schrader","First Reformed","July 22, 1946"
632,nm1033517,2020-01-13,2020-01-13,"927 points","Ariel Vromen","The Iceman","February 14, 1973"
633,nm0000438,2023-06-24,2023-06-24,"925 points","Ed Harris","Appaloosa","November 28, 1950"
634,nm0001915,2018-06-24,2018-06-24,"921 points","Emile Ardolino","Dirty Dancing","May 9, 1943"
635,nm0916424,2018-07-02,2018-07-02,"917 points","Peter Webber","Girl with a Pearl Earring","May 1960"
636,nm0496969,2023-02-24,2023-02-24,"913 points","Lee Chang-dong","Beoning","April 1, 1954"
637,nm0002191,2021-12-10,2021-12-10,"908 points","Jacques Audiard","Emilia Pérez","April 30, 1952"
638,nm1023919,2022-09-19,2022-09-19,"908 points","Ramin Bahrani","99 Homes","March 20, 1975"
639,nm0420422,2018-07-07,2018-07-07,"904 points","Christine Jeffs","Sunshine Cleaning","January 29, 1963"
640,nm0600409,2018-07-07,2018-07-07,"894 points","Daniel Monzón","Celda 211","1968"
641,nm0002645,2020-12-08,2020-12-08,"884 points","Paolo Genovese","Perfetti sconosciuti","August 20, 1966"
642,nm0003433,2018-05-17,2021-04-12,"881 points","Carl Theodor Dreyer","Gertrud","February 3, 1889"
643,nm0587277,2018-05-18,2018-05-18,"877 points","Lewis Milestone","All Quiet on the Western Front","September 30, 1895"
644,nm2441699,2024-03-11,2024-03-11,"877 points","Graham Moore","The Imitation Game","October 18, 1981"
645,nm2105585,2023-03-05,2023-03-05,"875 points","Tobias Lindholm","Druk","July 5, 1977"
646,nm1047532,2022-04-10,2022-04-10,"862 points","Brian Kirk","21 Bridges","1968"
647,nm0284369,2018-07-07,2018-07-07,"860 points","Ari Folman","Vals Im Bashir","December 17, 1962"
648,nm0614682,2018-07-08,2018-07-08,"855 points","Ryan Murphy","Glee","November 9, 1965"
649,nm0564827,2023-03-22,2023-03-22,"854 points","Tim McCanlies","The Iron Giant","1953"
650,nm0612816,2018-07-06,2018-07-06,"847 points","Cristian Mungiu","4 luni, 3 saptamâni si 2 zile","April 27, 1968"
651,nm0774325,2018-05-19,2018-05-19,"841 points","Ernest B. Schoedsack","Dr. Cyclops","June 8, 1893"
652,nm0178260,2018-05-19,2018-05-19,"841 points","Merian C. Cooper","King Kong","October 24, 1893"
653,nm0927468,2018-05-17,2018-05-17,"837 points","Robert Wiene","Das Cabinet des Dr. Caligari","April 24, 1873"
654,nm0640466,2025-01-22,2025-01-22,"837 points","Pat O'Connor","The Ballroom of Romance","1943"
655,nm0637615,2018-07-01,2018-07-01,"836 points","Gaspar Noé","Enter the Void","December 27, 1963"
656,nm6852255,2024-03-11,2024-03-11,"836 points","Cord Jefferson","American Fiction","January 26, 1982"
657,nm0000382,2018-07-07,2018-07-07,"834 points","Atom Egoyan","The Sweet Hereafter","July 19, 1960"
658,nm0573796,2018-06-28,2018-06-28,"832 points","John McNaughton","Henry: Portrait of a Serial Killer","January 13, 1950"
659,nm3133017,2022-08-28,2022-08-28,"830 points","Mehmet Ada Öztekin","Yedinci Kogustaki Mucize","1975"
660,nm0001178,2018-05-17,2018-05-17,"819 points","Sergei Eisenstein","Ivan Groznyy","January 22, 1898"
661,nm5029795,2022-08-14,2022-08-14,"819 points","Jeymes Samuel","The Harder They Fall","July 27, 1979"
662,nm0620378,2020-06-25,2020-06-25,"814 points","Hideo Nakata","Honogurai mizu no soko kara","July 19, 1961"
663,nm0036349,2018-07-07,2018-07-07,"812 points","Andrea Arnold","American Honey","April 5, 1961"
664,nm0154819,2018-06-24,2018-06-24,"810 points","Jeremiah S. Chechik","Benny & Joon","1955"
665,nm0867127,2018-07-10,2018-07-10,"809 points","Mark Tonderai","Spell","July 16, 1974"
666,nm0001302,2021-01-06,2021-01-06,"802 points","Christopher Guest","This Is Spinal Tap","February 5, 1948"
667,nm0056725,2018-07-03,2018-07-03,"793 points","Christophe Barratier","Les choristes","June 17, 1963"
668,nm0081433,2020-12-15,2020-12-15,"785 points","Fabián Bielinsky","Nueve reinas","February 3, 1959"
669,nm0000630,2018-07-03,2018-07-03,"781 points","Liev Schreiber","Spotlight","October 4, 1967"
670,nm2406731,2022-05-17,2022-05-17,"776 points","Bryan Fogel","Icarus","June 8"
671,nm0181903,2024-07-10,2024-07-10,"774 points","Panos Cosmatos","Mandy",
672,nm0690597,2018-06-01,2018-06-01,"773 points","Gillo Pontecorvo","La battaglia di Algeri","November 19, 1919"
673,nm0428600,2024-02-06,2024-02-06,"771 points","Kirk Jones","Waking Ned","October 31, 1964"
674,nm0362566,2024-10-10,2024-10-10,"771 points","Catherine Hardwicke","Twilight","October 21, 1955"
675,nm1193346,2024-04-24,2024-04-24,"770 points","Sean Ellis","Metro Manila","November 24, 1970"
676,nm0392237,2018-07-11,2018-07-11,"762 points","Nicole Holofcener","Enough Said","March 22, 1960"
677,nm0254632,2022-01-15,2022-01-15,"761 points","Stephan Elliott","The Adventures of Priscilla, Queen of the Desert","August 27, 1964"
678,nm0476201,2018-07-03,2018-07-03,"759 points","Karyn Kusama","The Invitation","March 21, 1968"
679,nm0000783,2022-05-21,2022-05-21,"756 points","Dario Argento","Profondo rosso","September 7, 1940"
680,nm1706767,2021-01-25,2021-01-25,"752 points","Jonah Hill","21 Jump Street","December 20, 1983"
681,nm0006498,2018-06-28,2018-06-28,"742 points","Majid Majidi","Bacheha-ye aseman","April 17, 1959"
682,nm0520749,2018-07-10,2018-07-10,"741 points","Robert Lorenz","In the Land of Saints & Sinners",
683,nm0001570,2021-09-11,2021-09-11,"739 points","Edward Norton","Fight Club","August 18, 1969"
684,nm0688636,2018-07-12,2018-07-12,"738 points","Laura Poitras","Citizenfour","February 2, 1964"
685,nm0423626,2018-07-12,2018-07-12,"738 points","Rowan Joffe","The Informer","1972"
686,nm0847690,2018-07-07,2018-07-07,"734 points","Yôjirô Takita","Okuribito","December 4, 1955"
687,nm0133899,2018-07-04,2018-07-04,"730 points","Guillaume Canet","Jeux d'enfants","April 10, 1973"
688,nm3152327,2022-09-04,2022-09-04,"727 points","Ryûsuke Hamaguchi","Aku wa sonzai shinai","December 16, 1978"
689,nm0505152,2018-06-25,2018-06-25,"724 points","Brian Levant","Still the Beaver","August 6, 1952"
690,nm0378144,2024-06-03,2024-06-03,"721 points","Jonathan Hensleigh","Armageddon","February 13, 1959"
691,nm0606439,2018-07-08,2018-07-08,"718 points","Christopher Morris","Four Lions","September 5, 1965"
692,nm0009463,2021-05-15,2021-05-15,"718 points","Hany Abu-Assad","Omar","October 11, 1961"
693,nm0230859,2018-07-12,2018-07-12,"714 points","Xavier Dolan","J'ai tué ma mère","March 20, 1989"
694,nm0654868,2018-05-27,2018-05-27,"711 points","Yasujirô Ozu","Tôkyô monogatari","December 12, 1903"
695,nm2610231,2023-06-27,2023-06-27,"710 points","Zal Batmanglij","The East","April 28, 1981"
696,nm0564970,2018-05-19,2018-05-19,"706 points","Leo McCarey","An Affair to Remember","October 3, 1896"
697,nm0001124,2018-05-28,2018-05-28,"704 points","Cecil B. DeMille","The Ten Commandments","August 12, 1881"
698,nm0946811,2018-06-02,2018-06-02,"703 points","Peter Yates","Breaking Away","July 24, 1929"
699,nm0054954,2023-03-05,2023-03-05,"700 points","Mike Barker","The Handmaid's Tale","November 29, 1965"
700,nm0265363,2018-06-17,2018-06-17,"700 points","Peter Faiman","Crocodile Dundee","1944"
701,nm0586281,2018-06-29,2018-06-29,"695 points","Takashi Miike","Koroshiya 1","August 24, 1960"
702,nm7546166,2020-11-23,2020-11-23,"695 points","Gustav Möller","Den skyldige","1988"
703,nm1595280,2024-04-18,2024-04-18,"693 points","James Gartner","Glory Road","1950"
704,nm0191147,2024-11-16,2024-11-16,"684 points","Michael Cuesta","L.I.E.","July 8, 1963"
705,nm0602104,2019-02-05,2019-02-05,"683 points","Jocelyn Moorhouse","The Dressmaker","September 4, 1960"
706,nm0086301,2021-09-13,2021-09-13,"683 points","Macon Blair","Blue Ruin","November 14, 1974"
707,nm2011696,2021-04-23,2021-04-23,"676 points","Dee Rees","Mudbound","February 7, 1977"
708,nm0467396,2018-05-26,2018-05-26,"674 points","Henry Koster","Harvey","May 1, 1905"
709,nm1993322,2018-07-10,2018-07-10,"671 points","Timo Vuorensola","Iron Sky","November 29, 1979"
710,nm1701024,2020-01-25,2020-01-25,"670 points","Nadine Labaki","Et maintenant on va où?","February 18, 1974"
711,nm1731154,2024-02-11,2024-02-11,"666 points","Farhad Safinia","Apocalypto","1975"
712,nm1906430,2018-07-10,2018-07-10,"665 points","Nicholas Jarecki","Arbitrage",
713,nm0476064,2024-07-24,2024-07-24,"664 points","Alex Kurtzman","Sleepy Hollow","September 7, 1973"
714,nm0593463,2018-07-08,2018-07-08,"663 points","John Cameron Mitchell","Hedwig and the Angry Inch","April 21, 1963"
715,nm1960322,2018-07-09,2018-07-09,"663 points","Nick Murphy","A Spy Among Friends",
716,nm0802693,2018-06-10,2018-06-10,"661 points","Ramesh Sippy","Sholay","January 23, 1947"
717,nm1009775,2024-07-19,2024-07-19,"659 points","Greg Marcks","11:14","August 12, 1976"
718,nm0465551,2023-06-25,2023-06-25,"650 points","Martin Koolhoven","Brimstone","April 25, 1969"
719,nm0315065,2018-07-10,2018-07-10,"648 points","Sacha Gervasi","Anvil: The Story of Anvil","1966"
720,nm0201094,2018-07-12,2018-07-12,"646 points","Jean-Pierre Dardenne","Deux jours, une nuit","April 21, 1951"
721,nm0201095,2018-07-12,2018-07-12,"646 points","Luc Dardenne","Deux jours, une nuit","March 10, 1954"
722,nm0398185,2019-12-18,2019-12-18,"646 points","Peter Howitt","Sliding Doors","May 5, 1957"
723,nm0855300,2024-05-31,2024-05-31,"645 points","Jonathan Teplitzky","The Railway Man",
724,nm0223359,2018-07-01,2018-07-01,"645 points","Tom Dey","Shanghai Noon","April 14, 1965"
725,nm1703612,2018-07-06,2018-07-06,"645 points","Joby Harold","Obi-Wan Kenobi",
726,nm0692872,2018-06-07,2018-06-07,"638 points","Ted Post","Magnum Force","March 31, 1918"
727,nm0031078,2018-07-09,2018-07-09,"638 points","Steve Antin","The Goonies","April 19, 1958"
728,nm1053371,2022-04-25,2022-04-25,"635 points","Duncan Tucker","Transamerica",
729,nm0997291,2018-07-13,2018-07-13,"633 points","Justin Kurzel","Nitram","August 3, 1974"
730,nm3834799,2023-03-17,2023-03-17,"632 points","Charlotte Wells","Aftersun","June 13, 1987"
731,nm0506802,2018-07-10,2018-07-10,"631 points","Ben Lewin","The Sessions","1946"
732,nm1285613,2018-07-09,2018-07-09,"631 points","Andrew Jarecki","Capturing the Friedmans","March 24, 1963"
733,nm0000770,2021-04-16,2021-04-16,"630 points","David Anspaugh","Hoosiers","September 24, 1946"
734,nm0784061,2018-06-24,2018-06-24,"629 points","Dominic Sena","Kalifornia","April 26, 1949"
735,nm0371059,2018-06-13,2018-06-13,"629 points","Jamie Uys","The Gods Must Be Crazy","May 30, 1921"
736,nm0881038,2018-06-23,2018-06-23,"626 points","Ron Underwood","Tremors","November 6"
737,nm0496746,2018-05-30,2018-06-11,"625 points","J. Lee Thompson","The Guns of Navarone","August 1, 1914"
738,nm0378893,2023-05-30,2023-05-30,"623 points","Stephen Herek","Critters","November 10, 1958"
739,nm0550881,2018-06-24,2018-06-24,"619 points","Frank Marshall","The Curious Case of Benjamin Button","September 13, 1946"
740,nm1994243,2023-06-02,2023-06-02,"613 points","Scott Z. Burns","The Report","July 17, 1962"
741,nm0849786,2018-07-01,2018-07-01,"611 points","Danis Tanovic","No Man's Land","February 20, 1969"
742,nm1120092,2023-05-31,2023-05-31,"610 points","Jasmila Zbanic","Quo Vadis, Aida?","December 19, 1974"
743,nm0091076,2021-12-06,2021-12-06,"607 points","Sergei Bodrov","Mongol","June 28, 1948"
744,nm0001676,2018-06-07,2018-06-07,"605 points","Nicolas Roeg","Don't Look Now","August 15, 1928"
745,nm0580729,2023-10-24,2023-10-24,"605 points","E. Elias Merhige","Shadow of the Vampire","1964"
746,nm0035462,2018-07-04,2018-07-04,"603 points","Neil Armfield","Candy","April 22, 1955"
747,nm11813828,2021-06-29,2021-06-29,"603 points","Pippa Ehrlich","My Octopus Teacher",
748,nm1624755,2021-06-29,2021-06-29,"603 points","James Reed","My Octopus Teacher",
749,nm0000774,2018-06-01,2018-06-01,"601 points","Michelangelo Antonioni","L'avventura","September 29, 1912"
750,nm0750275,2021-07-20,2021-07-20,"600 points","Björn Runge","The Wife","June 21, 1961"
751,nm0771923,2018-07-13,2018-07-13,"600 points","Sebastian Schipper","Victoria","May 8, 1968"
752,nm0115218,2018-05-18,2018-05-18,"598 points","Tod Browning","Dracula","July 12, 1880"
753,nm3734458,2021-05-21,2021-05-21,"598 points","Rupert Goold","Judy","1972"
754,nm0001252,2018-06-28,2018-06-28,"593 points","Vincent Gallo","Buffalo '66","April 11, 1961"
755,nm0578483,2018-06-01,2018-06-01,"588 points","Jean-Pierre Melville","Le samouraï","October 20, 1917"
756,nm0000806,2022-04-28,2022-04-28,"588 points","Bille August","Pelle erobreren","November 9, 1948"
757,nm3592235,2018-07-11,2018-07-11,"588 points","Ritesh Batra","The Lunchbox","June 12, 1979"
758,nm0188165,2018-07-01,2018-07-01,"586 points","Michael Cristofer","Die Hard with a Vengeance","January 22, 1945"
759,nm1223381,2025-01-13,2025-01-13,"585 points","Andrés Baiz","La cara oculta","1975"
760,nm1443023,2020-10-21,2020-10-21,"584 points","Nacho Vigalondo","Los cronocrímenes","1977"
761,nm0002160,2018-06-11,2018-06-11,"583 points","Moustapha Akkad","The Message","July 1, 1930"
762,nm0797455,2018-07-08,2018-07-08,"581 points","Floria Sigismondi","The Runaways","1965"
763,nm0775056,2023-08-31,2023-08-31,"575 points","Maria Schrader","She Said","September 27"
764,nm0796124,2018-06-23,2018-06-23,"575 points","Charles Shyer","Private Benjamin","October 11, 1941"
765,nm0844358,2018-06-12,2018-06-12,"573 points","Jeannot Szwarc","Somewhere in Time","November 21, 1937"
766,nm0394280,2024-02-27,2024-02-27,"573 points","Stephen Hopkins","Lost in Space","November 1"
767,nm0000519,2024-10-27,2024-10-27,"572 points","David Mamet","House of Games","November 30, 1947"
768,nm1699934,2018-07-09,2018-07-09,"572 points","Sean Durkin","Martha Marcy May Marlene","December 9, 1981"
769,nm1064048,2018-07-11,2018-07-11,"572 points","Nikolaj Arcel","Bastarden","August 25, 1972"
770,nm0406334,2018-07-14,2018-07-14,"572 points","Armando Iannucci","The Death of Stalin","November 28, 1963"
771,nm0667734,2018-07-12,2018-07-12,"571 points","Pawel Pawlikowski","Ida","September 15, 1957"
772,nm0644203,2023-12-19,2023-12-19,"570 points","Steve Oedekerk","Kung Pow: Enter the Fist","November 27, 1961"
773,nm0399853,2018-06-14,2018-06-14,"567 points","Hugh Hudson","Chariots of Fire","August 25, 1936"
774,nm0001710,2018-07-09,2018-07-09,"567 points","David Schwimmer","Friends","November 2, 1966"
775,nm0624102,2023-01-14,2023-01-14,"565 points","Hal Needham","The Cannonball Run","March 6, 1931"
776,nm0000320,2018-06-01,2018-06-01,"564 points","Luis Buñuel","Le charme discret de la bourgeoisie","February 22, 1900"
777,nm1461392,2018-07-10,2018-07-10,"563 points","Joachim Rønning","Pirates of the Caribbean: Dead Men Tell No Tales","May 30, 1972"
778,nm1650283,2018-07-10,2018-07-10,"563 points","Espen Sandberg","Kon-Tiki","June 17, 1971"
779,nm0249291,2023-06-03,2023-06-03,"561 points","Joel Edgerton","The Gift","June 23, 1974"
780,nm2171633,2018-07-12,2018-07-12,"560 points","Baran bo Odar","Who Am I - Kein System ist sicher","April 18, 1978"
781,nm1100217,2022-07-02,2022-07-02,"558 points","Richie Smyth","The Siege of Jadotville",
782,nm0350454,2022-02-09,2022-02-09,"557 points","Maggie Gyllenhaal","Secretary","November 16, 1977"
783,nm0075528,2025-01-08,2025-01-08,"556 points","Greg Berlanti","Love, Simon","May 24, 1972"
784,nm1841577,2018-07-13,2018-07-13,"555 points","László Nemes","Saul fia","February 18, 1977"
785,nm0000389,2018-07-04,2018-07-04,"554 points","Emilio Estevez","The Way","May 12, 1962"
786,nm0000788,2018-06-25,2018-06-25,"548 points","Gillian Armstrong","My Brilliant Career","December 18, 1950"
787,nm0001282,2018-07-08,2018-07-08,"547 points","Tony Goldwyn","Ghost","May 20, 1960"
788,nm0891554,2020-12-27,2020-12-27,"546 points","Francis Veber","Le dîner de cons","July 28, 1937"
789,nm1037221,2023-05-05,2023-05-05,"545 points","Sergio G. Sánchez","Marrowbone","1973"
790,nm0610960,2021-04-11,2021-04-11,"543 points","Kornél Mundruczó","Jupiter holdja","April 3, 1975"
